FileType	fastq	Read submission file type										
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5	library_construction_protocol
ERS28440893	PRJEB106128	Illumina HiSeq 2500	10M-HR_2_27_19_S261_L005	METAGENOMIC	RANDOM	WGS	10M-HR_2_27_19_S261_L005_R1_001.fastq.gz	f303a4ec50fa913350c5b7d0dcb5341c	10M-HR_2_27_19_S261_L005_R2_001.fastq.gz	6681a0cd38ba2d5531600cda5ba74a7f	Shotgun metagenomic library preparation
ERS28440894	PRJEB106128	Illumina HiSeq 2500	10M-HR_9_20_18_S61_L003	METAGENOMIC	RANDOM	WGS	10M-HR_9_20_18_S61_L003_R1_001.fastq.gz	c5982a7c76631f03f4a73e5aeb8d5f0d	10M-HR_9_20_18_S61_L003_R2_001.fastq.gz	3d3ab4f9dfe744e16176a00cbbee0b8e	Shotgun metagenomic library preparation
ERS28440895	PRJEB106128	Illumina HiSeq 2500	11F-HL_10_18_18_S139_L004	METAGENOMIC	RANDOM	WGS	11F-HL_10_18_18_S139_L004_R1_001.fastq.gz	3bf18d90d739ae1934f1e3a8eda9f7d9	11F-HL_10_18_18_S139_L004_R2_001.fastq.gz	e5fd6d2b7a6b0cff4abb9a2b9bca91e4	Shotgun metagenomic library preparation
ERS28440896	PRJEB106128	Illumina HiSeq 2500	11F-HL_1_9_19_S192_L004	METAGENOMIC	RANDOM	WGS	11F-HL_1_9_19_S192_L004_R1_001.fastq.gz	9f8586f055c157d440b357d9874e4567	11F-HL_1_9_19_S192_L004_R2_001.fastq.gz	d715c506db17d9b2a277972d1d819427	Shotgun metagenomic library preparation
ERS28440897	PRJEB106128	Illumina HiSeq 2500	11F-HL_2_27_19_S264_L005	METAGENOMIC	RANDOM	WGS	11F-HL_2_27_19_S264_L005_R1_001.fastq.gz	c41c5f23ff40ba85e9526cd8e1966ec6	11F-HL_2_27_19_S264_L005_R2_001.fastq.gz	334bb5066ff1390702a6594b7525cbf6	Shotgun metagenomic library preparation
ERS28440898	PRJEB106128	Illumina HiSeq 2500	11F-HL_5_22_19_S325_L006	METAGENOMIC	RANDOM	WGS	11F-HL_5_22_19_S325_L006_R1_001.fastq.gz	45df160856348d958e0f5a84c5d6fb4b	11F-HL_5_22_19_S325_L006_R2_001.fastq.gz	1678a417961ce018ce0815c2bd3f3c6d	Shotgun metagenomic library preparation
ERS28440899	PRJEB106128	Illumina HiSeq 2500	11F-HL_9_20_18_S76_L003	METAGENOMIC	RANDOM	WGS	11F-HL_9_20_18_S76_L003_R1_001.fastq.gz	f55a14048411bd58c0c2f337df79f31d	11F-HL_9_20_18_S76_L003_R2_001.fastq.gz	30e6fe6d03778c379b7986758f901fa3	Shotgun metagenomic library preparation
ERS28440900	PRJEB106128	Illumina HiSeq 2500	11F-HR_10_18_18_S138_L004	METAGENOMIC	RANDOM	WGS	11F-HR_10_18_18_S138_L004_R1_001.fastq.gz	3a275ded18ae4fd354d5a2d6cc727af8	11F-HR_10_18_18_S138_L004_R2_001.fastq.gz	e4465524fa3e7ecb1227eefbe7f295c8	Shotgun metagenomic library preparation
ERS28440901	PRJEB106128	Illumina HiSeq 2500	11F-HR_1_9_19_S193_L004	METAGENOMIC	RANDOM	WGS	11F-HR_1_9_19_S193_L004_R1_001.fastq.gz	ef2f2a140cde4b308a342c2514d76319	11F-HR_1_9_19_S193_L004_R2_001.fastq.gz	b7a193d4a847776e9f69ba525ad48f9c	Shotgun metagenomic library preparation
ERS28440902	PRJEB106128	Illumina HiSeq 2500	11F-HR_2_27_19_S263_L005	METAGENOMIC	RANDOM	WGS	11F-HR_2_27_19_S263_L005_R1_001.fastq.gz	7d982183a366834ae49e8b35d460678e	11F-HR_2_27_19_S263_L005_R2_001.fastq.gz	9d1bf6213dcbc049c4f7caab087352ba	Shotgun metagenomic library preparation
ERS28440903	PRJEB106128	Illumina HiSeq 2500	11F-HR_5_22_19_S324_L006	METAGENOMIC	RANDOM	WGS	11F-HR_5_22_19_S324_L006_R1_001.fastq.gz	e3c6eb4ad99fec6f3971a51dabf38e49	11F-HR_5_22_19_S324_L006_R2_001.fastq.gz	29dd062416dd909597339b12421d9090	Shotgun metagenomic library preparation
ERS28440904	PRJEB106128	Illumina HiSeq 2500	11F-HR_9_20_18_S77_L003	METAGENOMIC	RANDOM	WGS	11F-HR_9_20_18_S77_L003_R1_001.fastq.gz	90f0852284a78839aa56229e94dc3572	11F-HR_9_20_18_S77_L003_R2_001.fastq.gz	a44a25afe3703bff9e8793cfa516dc71	Shotgun metagenomic library preparation
ERS28440905	PRJEB106128	Illumina HiSeq 2500	11M-HL_10_18_18_S141_L004	METAGENOMIC	RANDOM	WGS	11M-HL_10_18_18_S141_L004_R1_001.fastq.gz	a9e188de6c8e50b74e1bf1594271e72c	11M-HL_10_18_18_S141_L004_R2_001.fastq.gz	db45c1f1cfa405a0906b9f0e5bb6bd6f	Shotgun metagenomic library preparation
ERS28440906	PRJEB106128	Illumina HiSeq 2500	11M-HL_1_9_19_S190_L004	METAGENOMIC	RANDOM	WGS	11M-HL_1_9_19_S190_L004_R1_001.fastq.gz	7727338c7bf653bc80ac5b59aa5557fe	11M-HL_1_9_19_S190_L004_R2_001.fastq.gz	6505c8c1d455068241b3919ae3f51310	Shotgun metagenomic library preparation
ERS28440907	PRJEB106128	Illumina HiSeq 2500	11M-HL_2_27_19_S266_L005	METAGENOMIC	RANDOM	WGS	11M-HL_2_27_19_S266_L005_R1_001.fastq.gz	0219d517ddc18b186832f9fc2db82597	11M-HL_2_27_19_S266_L005_R2_001.fastq.gz	1f600c3340a4a6aa9307f35babe6ff89	Shotgun metagenomic library preparation
ERS28440908	PRJEB106128	Illumina HiSeq 2500	11M-HL_5_22_19_S327_L006	METAGENOMIC	RANDOM	WGS	11M-HL_5_22_19_S327_L006_R1_001.fastq.gz	7911b0aa75b305d19181159934fb3cc7	11M-HL_5_22_19_S327_L006_R2_001.fastq.gz	56365e4b887f8983b9411f612b8253b3	Shotgun metagenomic library preparation
ERS28440909	PRJEB106128	Illumina HiSeq 2500	11M-HL_9_20_18_S74_L003	METAGENOMIC	RANDOM	WGS	11M-HL_9_20_18_S74_L003_R1_001.fastq.gz	a72aff14c9671885b25a03f10474502d	11M-HL_9_20_18_S74_L003_R2_001.fastq.gz	38d6626fda83f840af2ec1f439250bc4	Shotgun metagenomic library preparation
ERS28440910	PRJEB106128	Illumina HiSeq 2500	11M-HR_10_18_18_S140_L004	METAGENOMIC	RANDOM	WGS	11M-HR_10_18_18_S140_L004_R1_001.fastq.gz	3e3609d74071966d568d1434499c01b4	11M-HR_10_18_18_S140_L004_R2_001.fastq.gz	2c77a3867f0827a9abfd4722e577e882	Shotgun metagenomic library preparation
ERS28440911	PRJEB106128	Illumina HiSeq 2500	11M-HR_1_9_19_S191_L004	METAGENOMIC	RANDOM	WGS	11M-HR_1_9_19_S191_L004_R1_001.fastq.gz	ccada62d5716f2ac3d1ca6a5e39c5ba6	11M-HR_1_9_19_S191_L004_R2_001.fastq.gz	866f255c5ae42539514b60bc100e720d	Shotgun metagenomic library preparation
ERS28440912	PRJEB106128	Illumina HiSeq 2500	11M-HR_2_27_19_S265_L005	METAGENOMIC	RANDOM	WGS	11M-HR_2_27_19_S265_L005_R1_001.fastq.gz	760ffe6029cfa3d7b1606af9155a9a11	11M-HR_2_27_19_S265_L005_R2_001.fastq.gz	1b674f311fd36361f177d7e5d51f4a34	Shotgun metagenomic library preparation
ERS28440913	PRJEB106128	Illumina HiSeq 2500	11M-HR_5_22_19_S326_L006	METAGENOMIC	RANDOM	WGS	11M-HR_5_22_19_S326_L006_R1_001.fastq.gz	3a7a13ea15e908f53586a820d6353648	11M-HR_5_22_19_S326_L006_R2_001.fastq.gz	72a8957da06b4ee17cbbb3c462ef5013	Shotgun metagenomic library preparation
ERS28440914	PRJEB106128	Illumina HiSeq 2500	11M-HR_9_20_18_S75_L003	METAGENOMIC	RANDOM	WGS	11M-HR_9_20_18_S75_L003_R1_001.fastq.gz	b95511e4bae5d7f7ed4b8c1232b13f1a	11M-HR_9_20_18_S75_L003_R2_001.fastq.gz	eabb905f9d4f1b971bb545dba2ec56fa	Shotgun metagenomic library preparation
ERS28440915	PRJEB106128	Illumina HiSeq 2500	12F-HL_10_18_18_S143_L004	METAGENOMIC	RANDOM	WGS	12F-HL_10_18_18_S143_L004_R1_001.fastq.gz	7f9f6d0d428346cd2f9095e8a6684d83	12F-HL_10_18_18_S143_L004_R2_001.fastq.gz	50e91dd56d7f4e29cfe810662e8b12a4	Shotgun metagenomic library preparation
ERS28440916	PRJEB106128	Illumina HiSeq 2500	12F-HL_1_9_19_S188_L004	METAGENOMIC	RANDOM	WGS	12F-HL_1_9_19_S188_L004_R1_001.fastq.gz	dc130e43f6749bfb9f3f2433e43bcff8	12F-HL_1_9_19_S188_L004_R2_001.fastq.gz	cf7f83ef8b89b5022aa3c871fcbf46e2	Shotgun metagenomic library preparation
ERS28440917	PRJEB106128	Illumina HiSeq 2500	12F-HL_2_27_19_S268_L005	METAGENOMIC	RANDOM	WGS	12F-HL_2_27_19_S268_L005_R1_001.fastq.gz	f25b4ce23bfabc863d6ddc4529e042ae	12F-HL_2_27_19_S268_L005_R2_001.fastq.gz	85588e7909896b892824b0ad15931c0c	Shotgun metagenomic library preparation
ERS28440918	PRJEB106128	Illumina HiSeq 2500	12F-HL_5_22_19_S329_L006	METAGENOMIC	RANDOM	WGS	12F-HL_5_22_19_S329_L006_R1_001.fastq.gz	610b85932d8bae532a0f313902aad78c	12F-HL_5_22_19_S329_L006_R2_001.fastq.gz	2ecb29ec4e8e5fe9ec0c58526694d40f	Shotgun metagenomic library preparation
ERS28440919	PRJEB106128	Illumina HiSeq 2500	12F-HL_9_20_18_S71_L003	METAGENOMIC	RANDOM	WGS	12F-HL_9_20_18_S71_L003_R1_001.fastq.gz	0637eec930ca9fe4dc0d937c3e7a9969	12F-HL_9_20_18_S71_L003_R2_001.fastq.gz	35a49f9cb74fd19124e9fd71e0f6f730	Shotgun metagenomic library preparation
ERS28440920	PRJEB106128	Illumina HiSeq 2500	12F-HR_10_18_18_S142_L004	METAGENOMIC	RANDOM	WGS	12F-HR_10_18_18_S142_L004_R1_001.fastq.gz	cc296988932b34f0fc083bb4126b82d0	12F-HR_10_18_18_S142_L004_R2_001.fastq.gz	b0bef1d3f19d3df80c8fc19dd493682e	Shotgun metagenomic library preparation
ERS28440921	PRJEB106128	Illumina HiSeq 2500	12F-HR_1_9_19_S189_L004	METAGENOMIC	RANDOM	WGS	12F-HR_1_9_19_S189_L004_R1_001.fastq.gz	80a55ea8b916f7f4ed2be5062ca30b27	12F-HR_1_9_19_S189_L004_R2_001.fastq.gz	c41a5b2be0baa20eaf688a920c62bd71	Shotgun metagenomic library preparation
ERS28440922	PRJEB106128	Illumina HiSeq 2500	12F-HR_2_27_19_S267_L005	METAGENOMIC	RANDOM	WGS	12F-HR_2_27_19_S267_L005_R1_001.fastq.gz	074d18dcc7942c67e673c3933b4400f0	12F-HR_2_27_19_S267_L005_R2_001.fastq.gz	13a1de727e13e4b626a8424c6edc8c31	Shotgun metagenomic library preparation
ERS28440923	PRJEB106128	Illumina HiSeq 2500	12F-HR_5_22_19_S328_L006	METAGENOMIC	RANDOM	WGS	12F-HR_5_22_19_S328_L006_R1_001.fastq.gz	2818af719e313122adb8e457c50a25f4	12F-HR_5_22_19_S328_L006_R2_001.fastq.gz	f7b14c34c054227ede028dc7c10f1747	Shotgun metagenomic library preparation
