FileType	fastq	Read submission file type									
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5	library_construction_protocol
ERS28403478	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB16_control_male_20251229_154908_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB16_control_male_20251229_154908_R1.fastq.gz	6fc044e7916dfe52ff7ad9e90d4fef09	V2_SB16_control_male_20251229_154908_R2.fastq.gz	e0587fb8085b94f48844a9fa8d76b348	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403479	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB16_male_fish_12mo_20251229_160009_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB16_male_fish_12mo_20251229_160009_R1.fastq.gz	717bdf62928ab2a5487d550ef226f8f4	V2_SB16_male_fish_12mo_20251229_160009_R2.fastq.gz	25ecf756aef3219eda1b402562d36c07	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403480	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB16_male_fish_4mr_20251229_161408_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB16_male_fish_4mr_20251229_161408_R1.fastq.gz	6e9ebb37b4316acf1413d068eec34d99	V2_SB16_male_fish_4mr_20251229_161408_R2.fastq.gz	bd7fd7a73eaec28007bb33417432b172	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403481	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB16_male_fish_9mr_20251229_163028_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB16_male_fish_9mr_20251229_163028_R1.fastq.gz	8876ad208c1ad1b979fe57dcc441935d	V2_SB16_male_fish_9mr_20251229_163028_R2.fastq.gz	209d82cf7584ecc7e5f65352a6afda95	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403495	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB17_control_female_20251229_165255_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB17_control_female_20251229_165255_R1.fastq.gz	e7ba8e2e3967b618dd7879ac2b9c8ba8	V2_SB17_control_female_20251229_165255_R2.fastq.gz	6b1f747859f2ef3266b9e63ea3283f01	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403496	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB17_male_fish_12mo_20251229_170454_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB17_male_fish_12mo_20251229_170454_R1.fastq.gz	b0fe3ff99e47592cec5802ca8abb79b7	V2_SB17_male_fish_12mo_20251229_170454_R2.fastq.gz	bddc85af65b68b130cab7e02904be40d	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403497	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB17_male_fish_4mr_20251229_171742_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB17_male_fish_4mr_20251229_171742_R1.fastq.gz	373c6801a4d895072a4c5920c3a73501	V2_SB17_male_fish_4mr_20251229_171742_R2.fastq.gz	f65707991e10890a9debffcde168ae83	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403498	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB17_male_fish_9mr_20251229_172940_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB17_male_fish_9mr_20251229_172940_R1.fastq.gz	e5477caeaf1b581aaf8caa3fe8a422f1	V2_SB17_male_fish_9mr_20251229_172940_R2.fastq.gz	5260f99e267c15526a0c836bce925220	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403499	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB18_control_female_20251229_174128_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB18_control_female_20251229_174128_R1.fastq.gz	b533c9212bd777be0dd3a08f72405573	V2_SB18_control_female_20251229_174128_R2.fastq.gz	99c6dfd3bceb5d2e8ebccf6a1dd5123c	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403500	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB18_female_keto_4mr_20251229_175530_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB18_female_keto_4mr_20251229_175530_R1.fastq.gz	040d70b20164851e8209f535453725c9	V2_SB18_female_keto_4mr_20251229_175530_R2.fastq.gz	e2ea3d37279f76bb47fe39c8cdd9c9b6	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
