Checklist	ERC000011	ENA default sample checklist				
tax_id	scientific_name	sample_alias	sample_title	sample_description	collection date	geographic location (country and/or sea)
1861841	feces metagenome	Coconut_2_10_M4_10_18_2019_S318_L004	Coconut_2_10_M4_10_18_2019_S318_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_10_M6_12_18_2019_S198_L002	Coconut_2_10_M6_12_18_2019_S198_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_10_M9R0_4_3_2020_S282_L002	Coconut_2_10_M9R0_4_3_2020_S282_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_10_M9_3_20_2020_S195_L002	Coconut_2_10_M9_3_20_2020_S195_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_6_D0_6_18_19_S423_L001	Coconut_2_6_D0_6_18_19_S423_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_6_M11_5_21_2020_S64_L003	Coconut_2_6_M11_5_21_2020_S64_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_6_M1_7_31_2019_S42_L003	Coconut_2_6_M1_7_31_2019_S42_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_6_M4_10_18_2019_S315_L004	Coconut_2_6_M4_10_18_2019_S315_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_6_M6_12_18_2019_S195_L002	Coconut_2_6_M6_12_18_2019_S195_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_6_M9_3_20_2020_S192_L002	Coconut_2_6_M9_3_20_2020_S192_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_7_M1_7_31_2019_S43_L003	Coconut_2_7_M1_7_31_2019_S43_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_7_M4R5_4_3_2020_S281_L002	Coconut_2_7_M4R5_4_3_2020_S281_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_7_M4R7_5_22_2020_S628_L001	Coconut_2_7_M4R7_5_22_2020_S628_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_8_D0_6_18_19_S424_L001	Coconut_2_8_D0_6_18_19_S424_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_8_M4_10_18_2019_S316_L004	Coconut_2_8_M4_10_18_2019_S316_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_8_M6_12_18_2019_S196_L002	Coconut_2_8_M6_12_18_2019_S196_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_8_M9_3_20_2020_S193_L002	Coconut_2_8_M9_3_20_2020_S193_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_9_M11_5_21_2020_S65_L003	Coconut_2_9_M11_5_21_2020_S65_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_9_M4_10_18_2019_S317_L004	Coconut_2_9_M4_10_18_2019_S317_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_9_M6_12_18_2019_S197_L002	Coconut_2_9_M6_12_18_2019_S197_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_2_9_M9_3_20_2020_S194_L002	Coconut_2_9_M9_3_20_2020_S194_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_1_M11_5_21_2020_S66_L003	Coconut_3_1_M11_5_21_2020_S66_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_1_M1_7_31_2019_S47_L003	Coconut_3_1_M1_7_31_2019_S47_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_1_M4_10_18_2019_S319_L004	Coconut_3_1_M4_10_18_2019_S319_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_1_M6_12_18_2019_S199_L002	Coconut_3_1_M6_12_18_2019_S199_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_1_M9_3_20_2020_S196_L002	Coconut_3_1_M9_3_20_2020_S196_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_2_D0_6_18_19_S425_L001	Coconut_3_2_D0_6_18_19_S425_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_2_M11_5_21_2020_S67_L003	Coconut_3_2_M11_5_21_2020_S67_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_2_M1_7_31_2019_S48_L003	Coconut_3_2_M1_7_31_2019_S48_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_2_M4_10_18_2019_S320_L004	Coconut_3_2_M4_10_18_2019_S320_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_2_M6_12_18_2019_S200_L002	Coconut_3_2_M6_12_18_2019_S200_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_2_M9_3_20_2020_S197_L002	Coconut_3_2_M9_3_20_2020_S197_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_3_M1_7_31_2019_S49_L003	Coconut_3_3_M1_7_31_2019_S49_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_3_M4R5_4_3_2020_S283_L002	Coconut_3_3_M4R5_4_3_2020_S283_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_3_M4R7_5_22_2020_S629_L001	Coconut_3_3_M4R7_5_22_2020_S629_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_4_M4_10_18_2019_S321_L004	Coconut_3_4_M4_10_18_2019_S321_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_4_M6_12_18_2019_S201_L002	Coconut_3_4_M6_12_18_2019_S201_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_4_M9R0_4_3_2020_S284_L002	Coconut_3_4_M9R0_4_3_2020_S284_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_4_M9R2_5_22_2020_S630_L001	Coconut_3_4_M9R2_5_22_2020_S630_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_4_M9_3_20_2020_S198_L002	Coconut_3_4_M9_3_20_2020_S198_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_5_D0_6_18_19_S426_L001	Coconut_3_5_D0_6_18_19_S426_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_5_M1_7_31_2019_S51_L003	Coconut_3_5_M1_7_31_2019_S51_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_5_M4_10_18_2019_S322_L004	Coconut_3_5_M4_10_18_2019_S322_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_5_M6_12_18_2019_S202_L002	Coconut_3_5_M6_12_18_2019_S202_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_5_M9R0_4_3_2020_S285_L002	Coconut_3_5_M9R0_4_3_2020_S285_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_5_M9R2_5_22_2020_S631_L001	Coconut_3_5_M9R2_5_22_2020_S631_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_5_M9_3_20_2020_S199_L002	Coconut_3_5_M9_3_20_2020_S199_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_plus_4_R_3_M4R2_12_6_2019_S253_L002	Coconut_3_plus_4_R_3_M4R2_12_6_2019_S253_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_plus_4_R_4_M4R2_12_6_2019_S255_L002	Coconut_3_plus_4_R_4_M4R2_12_6_2019_S255_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_3_plus_4_R_9_M4R2_12_6_2019_S254_L002	Coconut_3_plus_4_R_9_M4R2_12_6_2019_S254_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_10_M1_7_31_2019_S56_L003	Coconut_4_10_M1_7_31_2019_S56_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_10_M4R5_4_3_2020_S644_L001	Coconut_4_10_M4R5_4_3_2020_S644_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_10_M4R7_5_22_2020_S633_L001	Coconut_4_10_M4R7_5_22_2020_S633_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_6_M11_5_21_2020_S68_L003	Coconut_4_6_M11_5_21_2020_S68_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_6_M1_7_31_2019_S52_L003	Coconut_4_6_M1_7_31_2019_S52_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_6_M4_10_18_2019_S323_L004	Coconut_4_6_M4_10_18_2019_S323_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_6_M6_12_18_2019_S203_L002	Coconut_4_6_M6_12_18_2019_S203_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_6_M9_3_20_2020_S200_L002	Coconut_4_6_M9_3_20_2020_S200_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_7_D0_6_18_19_S427_L001	Coconut_4_7_D0_6_18_19_S427_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_7_M11_5_21_2020_S69_L003	Coconut_4_7_M11_5_21_2020_S69_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_7_M1_7_31_2019_S53_L003	Coconut_4_7_M1_7_31_2019_S53_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_7_M4_10_18_2019_S324_L004	Coconut_4_7_M4_10_18_2019_S324_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_7_M6_12_18_2019_S204_L002	Coconut_4_7_M6_12_18_2019_S204_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_7_M9_3_20_2020_S201_L002	Coconut_4_7_M9_3_20_2020_S201_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_8_D0_6_18_19_S428_L001	Coconut_4_8_D0_6_18_19_S428_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_8_M1_7_31_2019_S54_L003	Coconut_4_8_M1_7_31_2019_S54_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_8_M4R7_5_22_2010_S632_L001	Coconut_4_8_M4R7_5_22_2010_S632_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_8_M4_10_18_2019_S325_L004	Coconut_4_8_M4_10_18_2019_S325_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_8_M6_12_18_2019_S205_L002	Coconut_4_8_M6_12_18_2019_S205_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_8_M9_3_20_2020_S202_L002	Coconut_4_8_M9_3_20_2020_S202_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_4_9_M1_7_31_2019_S55_L003	Coconut_4_9_M1_7_31_2019_S55_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_Oil_9_20_18_S87_L003	Coconut_Oil_9_20_18_S87_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_Oil_L_10_2-631_M4_11_7_2019_S135_L003	Coconut_Oil_L_10_2-631_M4_11_7_2019_S135_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_Oil_L_10_2-631_M6_1_6_2020_S183_L003	Coconut_Oil_L_10_2-631_M6_1_6_2020_S183_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_Oil_L_10_2-632_M4_11_7_2019_S136_L003	Coconut_Oil_L_10_2-632_M4_11_7_2019_S136_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_Oil_L_10_2-632_M6_1_6_2020_S184_L003	Coconut_Oil_L_10_2-632_M6_1_6_2020_S184_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_Oil_L_12_1A-634_M4_11_7_2019_S134_L003	Coconut_Oil_L_12_1A-634_M4_11_7_2019_S134_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_Oil_L_12_1A-634_M6_1_6_2020_S182_L003	Coconut_Oil_L_12_1A-634_M6_1_6_2020_S182_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_Oil_L_12_1A-646_M4_11_7_2019_S132_L003	Coconut_Oil_L_12_1A-646_M4_11_7_2019_S132_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_Oil_L_12_1A-646_M6_1_6_2020_S180_L003	Coconut_Oil_L_12_1A-646_M6_1_6_2020_S180_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_Oil_L_12_1A-674_M4_11_7_2019_S133_L003	Coconut_Oil_L_12_1A-674_M4_11_7_2019_S133_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_Oil_L_12_1A-674_M6_1_6_2020_S181_L003	Coconut_Oil_L_12_1A-674_M6_1_6_2020_S181_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_Oil_L_2_8A-4_M4_11_7_2019_S137_L003	Coconut_Oil_L_2_8A-4_M4_11_7_2019_S137_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Coconut_Oil_L_2_8A-4_M6_1_6_2020_S185_L003	Coconut_Oil_L_2_8A-4_M6_1_6_2020_S185_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_1_M11_5_20_2020_S9_L003	Cont_1_1_M11_5_20_2020_S9_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_1_M1_7_30_2019_S437_L001	Cont_1_1_M1_7_30_2019_S437_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_1_M4_10_15_2019_S77_L003	Cont_1_1_M4_10_15_2019_S77_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_1_M6_12_16_2019_S341_L004	Cont_1_1_M6_12_16_2019_S341_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_1_M9_3_18_2020_S432_L001	Cont_1_1_M9_3_18_2020_S432_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_1_M9_4_3_2020_S218_L002	Cont_1_1_M9_4_3_2020_S218_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_2_D0_6_18_19_S373_L001	Cont_1_2_D0_6_18_19_S373_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_2_M11_5_20_2020_S10_L003	Cont_1_2_M11_5_20_2020_S10_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_2_M1_7_30_2019_S438_L001	Cont_1_2_M1_7_30_2019_S438_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_2_M4_10_15_2019_S78_L003	Cont_1_2_M4_10_15_2019_S78_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_2_M6_12_16_2019_S342_L004	Cont_1_2_M6_12_16_2019_S342_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_2_M9R0_4_3_2020_S219_L002	Cont_1_2_M9R0_4_3_2020_S219_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_2_M9_3_18_2020_S433_L001	Cont_1_2_M9_3_18_2020_S433_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_3_D0_6_18_19_S374_L001	Cont_1_3_D0_6_18_19_S374_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_3_M11_5_20_2020_S11_L003	Cont_1_3_M11_5_20_2020_S11_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_3_M1_7_30_2019_S439_L001	Cont_1_3_M1_7_30_2019_S439_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_3_M4_10_15_2019_S79_L003	Cont_1_3_M4_10_15_2019_S79_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_3_M6_12_16_2019_S343_L004	Cont_1_3_M6_12_16_2019_S343_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_3_M9R0_4_3_2020_S220_L002	Cont_1_3_M9R0_4_3_2020_S220_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_3_M9_3_18_2020_S434_L001	Cont_1_3_M9_3_18_2020_S434_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_4_M1_7_30_2019_S440_L001	Cont_1_4_M1_7_30_2019_S440_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_4_M9R0_4_3_2020_S221_L002	Cont_1_4_M9R0_4_3_2020_S221_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_4_M9_3_18_2020_S435_L001	Cont_1_4_M9_3_18_2020_S435_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_5_M11_5_20_2020_S12_L003	Cont_1_5_M11_5_20_2020_S12_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_5_M1_7_30_2019_S441_L001	Cont_1_5_M1_7_30_2019_S441_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_5_M4_10_15_2019_S80_L003	Cont_1_5_M4_10_15_2019_S80_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_5_M6_12_16_2019_S344_L004	Cont_1_5_M6_12_16_2019_S344_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_5_M9R0_4_3_2020_S222_L002	Cont_1_5_M9R0_4_3_2020_S222_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_5_M9_3_18_2020_S436_L001	Cont_1_5_M9_3_18_2020_S436_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_plus_2_R_4_M4R2_12_6_2019_S221_L002	Cont_1_plus_2_R_4_M4R2_12_6_2019_S221_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_1_plus_2_R_7_M4R2_12_6_2019_S222_L002	Cont_1_plus_2_R_7_M4R2_12_6_2019_S222_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_10_D0_6_18_19_S376_L001	Cont_2_10_D0_6_18_19_S376_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_10_M11_5_20_2020_S16_L003	Cont_2_10_M11_5_20_2020_S16_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_10_M1_7_30_2019_S446_L001	Cont_2_10_M1_7_30_2019_S446_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_10_M4_10_15_2019_S84_L003	Cont_2_10_M4_10_15_2019_S84_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_10_M6_12_16_2019_S348_L004	Cont_2_10_M6_12_16_2019_S348_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_10_M9_3_18_2020_S441_L001	Cont_2_10_M9_3_18_2020_S441_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_6_M1_7_30_2019_S442_L001	Cont_2_6_M1_7_30_2019_S442_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_6_M4_10_15_2019_S81_L003	Cont_2_6_M4_10_15_2019_S81_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_6_M6_12_16_2019_S345_L004	Cont_2_6_M6_12_16_2019_S345_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_6_M9_3_18_2020_S437_L001	Cont_2_6_M9_3_18_2020_S437_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_7_M1_7_30_2019_S443_L001	Cont_2_7_M1_7_30_2019_S443_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_7_M9_3_18_2020_S438_L001	Cont_2_7_M9_3_18_2020_S438_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_8_M11_5_20_2020_S14_L003	Cont_2_8_M11_5_20_2020_S14_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_8_M1_7_30_2019_S444_L001	Cont_2_8_M1_7_30_2019_S444_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_8_M4_10_15_2019_S82_L003	Cont_2_8_M4_10_15_2019_S82_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_8_M6_12_16_2019_S346_L004	Cont_2_8_M6_12_16_2019_S346_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_8_M9_3_18_2020_S439_L001	Cont_2_8_M9_3_18_2020_S439_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_9_D0_6_18_19_S375_L001	Cont_2_9_D0_6_18_19_S375_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_9_M11_5_20_2020_S15_L003	Cont_2_9_M11_5_20_2020_S15_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_9_M1_7_30_2019_S445_L001	Cont_2_9_M1_7_30_2019_S445_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_9_M4_10_15_2019_S83_L003	Cont_2_9_M4_10_15_2019_S83_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_9_M6_12_16_2019_S347_L004	Cont_2_9_M6_12_16_2019_S347_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_2_9_M9_3_18_2020_S440_L001	Cont_2_9_M9_3_18_2020_S440_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_3_1_M1_7_30_2019_S447_L001	Cont_3_1_M1_7_30_2019_S447_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_3_1_M9R0_4_3_2020_S223_L002	Cont_3_1_M9R0_4_3_2020_S223_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_3_1_M9_3_18_2020_S442_L001	Cont_3_1_M9_3_18_2020_S442_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_3_2_D0_6_18_19_S377_L001	Cont_3_2_D0_6_18_19_S377_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_3_2_M1_7_30_2019_S448_L001	Cont_3_2_M1_7_30_2019_S448_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_3_2_M4_10_15_2019_S85_L003	Cont_3_2_M4_10_15_2019_S85_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_3_2_M6_12_16_2019_S349_L004	Cont_3_2_M6_12_16_2019_S349_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_3_2_M9R0_4_3_2020_S224_L002	Cont_3_2_M9R0_4_3_2020_S224_L002 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_3_2_M9_3_18_2020_S443_L001	Cont_3_2_M9_3_18_2020_S443_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_3_3_D0_6_18_19_S378_L001	Cont_3_3_D0_6_18_19_S378_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_3_3_M11_5_20_2020_S17_L003	Cont_3_3_M11_5_20_2020_S17_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_3_3_M1_7_30_2019_S449_L001	Cont_3_3_M1_7_30_2019_S449_L001 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_3_3_M4_10_15_2019_S86_L003	Cont_3_3_M4_10_15_2019_S86_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	Cont_3_3_M6_12_16_2019_S350_L004	Cont_3_3_M6_12_16_2019_S350_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
