Checklist	ERC000011	ENA default sample checklist				
tax_id	scientific_name	sample_alias	sample_title	sample_description	collection date	geographic location (country and/or sea)
1861841	feces metagenome	12F-HL_5_22_19_S329_L006	12F-HL_5_22_19_S329_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	12F-HL_9_20_18_S71_L003	12F-HL_9_20_18_S71_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	12F-HR_10_18_18_S142_L004	12F-HR_10_18_18_S142_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	12F-HR_1_9_19_S189_L004	12F-HR_1_9_19_S189_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	12F-HR_2_27_19_S267_L005	12F-HR_2_27_19_S267_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	12F-HR_5_22_19_S328_L006	12F-HR_5_22_19_S328_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	12F-HR_9_20_18_S72_L003	12F-HR_9_20_18_S72_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	12M-HL_10_18_18_S145_L004	12M-HL_10_18_18_S145_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	12M-HL_1_9_19_S186_L004	12M-HL_1_9_19_S186_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	12M-HL_2_27_19_S270_L005	12M-HL_2_27_19_S270_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	12M-HL_9_20_18_S69_L003	12M-HL_9_20_18_S69_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	12M-HR_10_18_18_S144_L004	12M-HR_10_18_18_S144_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	12M-HR_1_9_19_S187_L004	12M-HR_1_9_19_S187_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
